salary,gender,10percentage,12graduation,12percentage,12board,degree,specialization,collegegpa,graduationyear,english,logical,quant,domain,computerprogramming,computerscience,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,period
145000,m,75.0,1970-01-01 00:00:00.000002009,60.0,CBSE,B.Tech/B.E.,CSE,66.0,1970-01-01 00:00:00.000002014,380,545,460,0.356536487724475,395,346,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,0
350000,m,91.4,1970-01-01 00:00:00.000002010,73.0,CBSE,B.Tech/B.E.,IT,71.0,1970-01-01 00:00:00.000002014,555,560,825,0.23780283983757,525,315,-0.0154,0.2578,-0.5349,-1.1218,-1.359,8
205000,f,85.6,1970-01-01 00:00:00.000002008,82.0,CBSE,B.Tech/B.E.,CSE,74.01,1970-01-01 00:00:00.000002012,370,495,455,0.0800552813405495,445,253,0.1282,0.5454,0.1637,-0.4879,0.8637,2
390000,m,86.6,1970-01-01 00:00:00.000002009,75.0,CBSE,B.Tech/B.E.,CSE,74.0,1970-01-01 00:00:00.000002013,505,545,565,0.356536487724475,475,346,-2.5039,0.0328,0.3817,0.26793,0.5024,9
250000,m,90.8,1970-01-01 00:00:00.000002010,90.1,STATE BOARD,B.Tech/B.E.,CSE,67.7,1970-01-01 00:00:00.000002014,525,530,595,0.486747008438193,485,376,-0.3027,0.7119,-0.2974,1.1601,-0.4776,8
300000,m,85.3,1970-01-01 00:00:00.000002010,88.3,STATE BOARD,B.Tech/B.E.,CSE,85.0,1970-01-01 00:00:00.000002014,370,375,325,0.356536487724475,315,346,1.8517,1.5444,0.3174,0.3995,0.6721,1
250000,m,86.0,1970-01-01 00:00:00.000002008,64.0,STATE BOARD,B.Tech/B.E.,IT,61.17,1970-01-01 00:00:00.000002013,665,545,415,0.911395278391328,405,500,1.1336,1.3779,2.1617,-0.995,1.0554,8
200000,m,85.0,1970-01-01 00:00:00.000002010,75.0,CBSE,B.Tech/B.E.,CSE,60.0,1970-01-01 00:00:00.000002014,675,480,500,0.842248322257836,425,469,1.1336,1.0449,0.1637,-1.2486,0.0973,1
120000,f,86.0,1970-01-01 00:00:00.000002009,77.0,STATE BOARD,B.Tech/B.E.,CSE,75.0,1970-01-01 00:00:00.000002013,325,510,295,0.0185409416754305,415,192,0.1282,0.0459,0.1637,0.0192,-0.0943,0
325000,f,86.4,1970-01-01 00:00:00.000002010,78.2,CBSE,B.Tech/B.E.,ECE,73.5,1970-01-01 00:00:00.000002014,535,435,440,0.207392169717661,355,530,0.8463,1.3779,1.3933,0.653,-0.2859,1
300000,m,84.83,1970-01-01 00:00:00.000002010,82.4,CBSE,B.Tech/B.E.,CSE,74.14,1970-01-01 00:00:00.000002014,665,595,705,0.744758354008939,505,438,-0.4463,0.2124,0.3174,-1.5021,-0.2859,8
220000,f,87.0,1970-01-01 00:00:00.000002008,60.0,CBSE,B.Tech/B.E.,CSE,70.82,1970-01-01 00:00:00.000002013,640,605,400,0.842248322257836,425,469,0.8463,1.2114,1.2396,-0.1076,1.247,8
275000,m,80.8,1970-01-01 00:00:00.000002009,75.0,STATE BOARD,B.Tech/B.E.,ECE,77.38,1970-01-01 00:00:00.000002013,405,470,370,0.622642915849938,475,500,1.4208,-0.7866,-0.1437,-1.5021,-0.4776,1
300000,f,88.0,1970-01-01 00:00:00.000002010,88.0,STATE BOARD,B.Tech/B.E.,CSE,70.12,1970-01-01 00:00:00.000002014,710,605,605,0.744758354008939,405,438,0.5591,1.2114,1.8543,0.1459,0.0973,8
120000,m,55.6,1970-01-01 00:00:00.000002005,50.8,STATE BOARD,MCA,CA,80.03,1970-01-01 00:00:00.000002014,440,425,370,0.23780283983757,415,315,-0.0154,0.8784,1.2396,1.2869,0.8637,8
300000,m,75.0,1970-01-01 00:00:00.000002008,72.0,STATE BOARD,B.Tech/B.E.,IT,80.0,1970-01-01 00:00:00.000002013,475,470,415,0.911395278391328,595,500,0.8463,1.0449,1.3933,-1.6289,-0.2859,0
310000,m,79.0,1970-01-01 00:00:00.000002008,76.4,STATE BOARD,B.Tech/B.E.,ECE,65.0,1970-01-01 00:00:00.000002012,605,510,515,0.622642915849938,345,346,1.7081,0.8784,1.547,-1.6289,-0.0943,9
340000,f,85.8,1970-01-01 00:00:00.000002010,65.8,CBSE,B.Tech/B.E.,IT,69.7,1970-01-01 00:00:00.000002014,615,630,750,0.622642915849938,485,407,0.8463,1.0449,0.01,-0.2344,0.4805,1
120000,m,68.4,1970-01-01 00:00:00.000002008,61.0,STATE BOARD,B.Tech/B.E.,CSE,62.2,1970-01-01 00:00:00.000002013,440,375,330,0.23780283983757,455,315,-1.7389,-1.2861,-0.4511,0.7798,-1.8189,1
340000,m,91.43,1970-01-01 00:00:00.000002009,74.0,CBSE,B.Tech/B.E.,CSE,70.0,1970-01-01 00:00:00.000002016,665,460,570,0.144789889482462,445,284,0.4155,0.3789,-0.1437,-0.7415,-0.2859,7
120000,m,60.8,1970-01-01 00:00:00.000002009,63.0,STATE BOARD,B.Tech/B.E.,IT,68.0,1970-01-01 00:00:00.000002014,440,400,310,0.144789889482462,345,284,0.4155,-1.1196,0.7785,-0.1076,-0.2859,1
325000,m,82.8,1970-01-01 00:00:00.000002009,73.6,CBSE,B.Tech/B.E.,CSE,67.5,1970-01-01 00:00:00.000002014,520,450,575,0.744758354008939,545,438,-0.159,0.0459,0.7785,-1.1218,-0.0943,8
205000,f,74.0,1970-01-01 00:00:00.000002009,61.1,STATE BOARD,B.Tech/B.E.,CSE,71.0,1970-01-01 00:00:00.000002013,500,460,235,0.0800552813405495,275,253,1.1336,0.3789,0.6248,-1.8824,0.8637,8
105000,m,64.66,1970-01-01 00:00:00.000002008,63.0,STATE BOARD,B.Tech/B.E.,IT,67.0,1970-01-01 00:00:00.000002013,370,410,470,0.842248322257836,415,469,0.2718,-1.1196,-1.8344,-0.7415,-1.8189,1
195000,m,79.6,1970-01-01 00:00:00.000002011,87.58,STATE BOARD,B.Tech/B.E.,IT,6.63,1970-01-01 00:00:00.000002014,380,355,210,0.144789889482462,285,284,0.8463,0.7119,0.4711,1.1601,0.4805,1
145000,m,80.0,1970-01-01 00:00:00.000002009,89.0,STATE BOARD,B.Tech/B.E.,CSE,62.0,1970-01-01 00:00:00.000002013,325,530,405,0.356536487724475,275,346,0.99,0.3789,-0.2974,-1.1218,-1.244,1
100000,m,78.0,1970-01-01 00:00:00.000002012,62.0,STATE BOARD,B.Tech/B.E.,IT,60.0,1970-01-01 00:00:00.000002014,525,435,405,0.744758354008939,415,438,-2.3134,-0.1206,-0.2974,0.1459,-1.6273,1
120000,m,60.0,1970-01-01 00:00:00.000002009,47.0,STATE BOARD,B.Tech/B.E.,IT,59.9,1970-01-01 00:00:00.000002014,395,400,390,0.486747008438193,305,376,0.8463,-0.2871,0.01,0.2727,0.0973,8
235000,f,91.12,1970-01-01 00:00:00.000002010,72.0,STATE BOARD,B.Tech/B.E.,CSE,74.0,1970-01-01 00:00:00.000002014,490,470,585,0.953899775079926,475,530,1.1336,1.5444,1.547,-1.7556,-0.0943,8
290000,f,88.6,1970-01-01 00:00:00.000002009,78.0,CBSE,B.Tech/B.E.,CSE,84.0,1970-01-01 00:00:00.000002014,455,560,630,0.0409993103614119,495,223,0.4155,-0.1206,-0.2974,1.1601,0.0973,8
145000,m,72.0,1970-01-01 00:00:00.000002009,54.0,CBSE,B.Tech/B.E.,CSE,64.0,1970-01-01 00:00:00.000002014,335,535,400,0.486747008438193,395,376,-1.1644,-0.2871,0.6248,0.1459,-0.0943,8
305000,m,85.0,1970-01-01 00:00:00.000002008,80.0,ICSE,B.Tech/B.E.,ECE,63.0,1970-01-01 00:00:00.000002013,660,585,620,0.0219691089363428,-1,376,1.2772,-0.6201,-0.1437,-1.6289,-0.0943,2
325000,m,78.0,1970-01-01 00:00:00.000002010,76.6,CBSE,B.Tech/B.E.,IT,75.0,1970-01-01 00:00:00.000002014,590,555,545,0.911395278391328,525,500,-0.159,-0.2871,0.01,-0.6147,0.2889,1
200000,m,73.0,1970-01-01 00:00:00.000002009,61.0,STATE BOARD,B.Tech/B.E.,CSE,58.0,1970-01-01 00:00:00.000002014,520,390,320,0.622642915849938,415,407,0.1282,1.3779,0.6248,-0.2344,0.6721,1
225000,m,78.0,1970-01-01 00:00:00.000002009,72.0,STATE BOARD,B.Tech/B.E.,IT,64.0,1970-01-01 00:00:00.000002014,595,530,525,0.486747008438193,445,376,1.4208,1.2114,0.3174,-0.995,1.4386,8
375000,m,85.8,1970-01-01 00:00:00.000002010,78.4,CBSE,B.Tech/B.E.,CSE,77.56,1970-01-01 00:00:00.000002014,530,595,340,0.842248322257836,485,469,1.2772,1.2114,-2.1418,-1.7556,-0.6692,1
180000,m,91.3,1970-01-01 00:00:00.000002010,88.9,STATE BOARD,B.Tech/B.E.,CSE,74.86,1970-01-01 00:00:00.000002014,525,545,560,0.486747008438193,455,376,-1.0208,0.7119,0.4711,-0.2344,0.2889,8
300000,m,65.6,1970-01-01 00:00:00.000002008,70.2,ICSE,B.Tech/B.E.,IT,79.0,1970-01-01 00:00:00.000002013,525,590,535,0.744758354008939,615,438,-0.4463,-0.2871,1.2396,-0.7415,0.0973,9
305000,m,90.4,1970-01-01 00:00:00.000002008,79.0,CBSE,B.Tech/B.E.,CSE,75.16,1970-01-01 00:00:00.000002012,595,545,690,0.978799292641428,505,561,-0.7335,0.2124,-0.7585,0.2727,-1.0524,1
215000,m,81.2,1970-01-01 00:00:00.000002008,80.7,STATE BOARD,B.Tech/B.E.,IT,74.3,1970-01-01 00:00:00.000002012,500,460,235,0.23780283983757,385,315,1.8517,1.2114,-0.4511,-1.8824,-0.4776,1
350000,m,82.0,1970-01-01 00:00:00.000002008,81.2,CBSE,B.Tech/B.E.,CSE,71.67,1970-01-01 00:00:00.000002013,580,640,870,0.622642915849938,625,407,-0.5899,1.0449,0.3174,-1.2486,0.8637,1
115000,m,81.2,1970-01-01 00:00:00.000002008,65.2,CBSE,B.Tech/B.E.,CSE,68.96,1970-01-01 00:00:00.000002013,570,530,525,0.622642915849938,465,407,-0.8772,-0.9531,-0.6048,0.3995,-1.6273,8
240000,f,80.0,1970-01-01 00:00:00.000002010,79.2,STATE BOARD,B.Tech/B.E.,CSE,71.4,1970-01-01 00:00:00.000002014,395,420,270,0.486747008438193,415,376,0.5591,0.7119,1.2396,-0.7415,-0.2859,0
180000,m,55.0,1970-01-01 00:00:00.000002005,68.0,STATE BOARD,B.Tech/B.E.,CSE,59.0,1970-01-01 00:00:00.000002012,475,415,435,0.486747008438193,385,376,-0.7651,0.0328,0.0914,1.4136,0.0284,1
300000,m,89.12,1970-01-01 00:00:00.000002009,68.0,STATE BOARD,B.Tech/B.E.,CSE,74.0,1970-01-01 00:00:00.000002013,465,545,520,0.744758354008939,595,438,0.4155,-0.7866,-0.6048,-1.8824,-2.3937,9
180000,m,73.0,1970-01-01 00:00:00.000002009,69.0,STATE BOARD,B.Tech/B.E.,IT,65.5,1970-01-01 00:00:00.000002014,465,480,415,0.622642915849938,435,407,0.1282,-0.1206,0.3174,0.653,-0.6692,1
285000,m,50.6,1970-01-01 00:00:00.000002009,56.9,STATE BOARD,B.Tech/B.E.,CSE,60.01,1970-01-01 00:00:00.000002014,350,335,400,0.23780283983757,375,315,-0.0154,0.2124,-0.1437,-1.2486,1.247,1
275000,m,60.14,1970-01-01 00:00:00.000002008,60.0,STATE BOARD,B.Tech/B.E.,IT,77.0,1970-01-01 00:00:00.000002014,455,485,510,0.622642915849938,435,407,-0.159,0.0459,0.3174,-1.2486,1.0554,8
170000,m,77.66,1970-01-01 00:00:00.000002009,90.7,STATE BOARD,B.Tech/B.E.,CSE,69.5,1970-01-01 00:00:00.000002013,580,580,560,0.23780283983757,455,315,-2.1698,-0.1206,0.3174,-0.4879,0.0973,8
245000,m,81.0,1970-01-01 00:00:00.000002009,66.0,STATE BOARD,B.Tech/B.E.,IT,66.0,1970-01-01 00:00:00.000002013,580,555,465,0.622642915849938,415,407,1.2772,0.0459,1.2396,-1.5021,1.247,8
350000,f,85.0,1970-01-01 00:00:00.000002011,75.0,CBSE,B.Tech/B.E.,CSE,78.4,1970-01-01 00:00:00.000002015,650,520,560,0.953899775079926,485,530,1.1336,1.0449,0.9322,-0.6147,0.6721,0
95000,m,78.8,1970-01-01 00:00:00.000002010,68.0,CBSE,B.Tech/B.E.,CSE,67.0,1970-01-01 00:00:00.000002014,465,555,390,0.622642915849938,465,407,-1.0208,-0.1206,0.4711,-0.6147,-1.0524,8
325000,m,71.0,1970-01-01 00:00:00.000002008,70.0,STATE BOARD,B.Tech/B.E.,CSE,68.8,1970-01-01 00:00:00.000002014,425,435,595,0.622642915849938,205,407,-0.4173,0.8518,0.925999999999999,-0.05527,0.0284,8
305000,m,88.6,1970-01-01 00:00:00.000002010,92.0,STATE BOARD,B.Tech/B.E.,CSE,73.0,1970-01-01 00:00:00.000002014,875,510,500,0.744758354008939,485,438,-0.0154,0.3789,0.1637,0.0192,0.2889,8
105000,m,80.0,1970-01-01 00:00:00.000002010,62.0,CBSE,B.Tech/B.E.,CSE,61.0,1970-01-01 00:00:00.000002014,490,530,520,0.842248322257836,485,469,-0.7335,0.3789,0.1637,0.1459,-1.0524,0
305000,m,79.83,1970-01-01 00:00:00.000002010,91.5,STATE BOARD,B.Tech/B.E.,CSE,71.52,1970-01-01 00:00:00.000002014,615,470,455,0.486747008438193,465,376,-0.0154,0.5454,0.4711,-0.1076,0.2889,8
300000,m,87.0,1970-01-01 00:00:00.000002009,70.0,CBSE,B.Tech/B.E.,IT,62.0,1970-01-01 00:00:00.000002013,710,555,570,0.622642915849938,575,407,-0.5899,-0.7866,-0.9122,0.2727,-0.4776,8
360000,m,62.0,1970-01-01 00:00:00.000002005,61.0,CBSE,M.Tech./M.E.,CSE,72.0,1970-01-01 00:00:00.000002012,575,575,404,0.486747008438193,495,376,0.99,0.8784,0.7785,-0.7415,0.2889,1
240000,m,86.3,1970-01-01 00:00:00.000002009,89.7,STATE BOARD,B.Tech/B.E.,ECS,71.0,1970-01-01 00:00:00.000002013,360,460,430,0.744758354008939,515,438,0.99,-0.6201,-0.4511,-2.0092,0.0973,8
300000,m,81.0,1970-01-01 00:00:00.000002009,86.0,ICSE,B.Tech/B.E.,CSE,74.15,1970-01-01 00:00:00.000002014,520,625,630,0.978799292641428,615,561,-1.0208,-0.2871,0.6248,-0.995,-0.4776,8
315000,m,83.6,1970-01-01 00:00:00.000002009,60.17,CBSE,B.Tech/B.E.,ECE,71.3,1970-01-01 00:00:00.000002014,640,595,800,0.622642915849938,515,561,-1.5953,-0.6201,-1.8344,-0.3612,-1.6273,7
315000,m,85.0,1970-01-01 00:00:00.000002009,85.0,CBSE,B.Tech/B.E.,CSE,65.25,1970-01-01 00:00:00.000002014,450,525,515,0.622642915849938,515,407,-1.308,-0.6201,-0.7585,0.3995,-1.4356,8
350000,m,69.2,1970-01-01 00:00:00.000002008,77.4,CBSE,MCA,CA,76.72,1970-01-01 00:00:00.000002014,535,630,645,0.999664340267414,695,684,-2.3134,1.0449,0.1637,1.5404,0.0973,0
150000,f,85.6,1970-01-01 00:00:00.000002010,69.6,CBSE,B.Tech/B.E.,IT,76.6,1970-01-01 00:00:00.000002014,535,535,400,0.744758354008939,-1,438,-1.1644,-0.2871,-1.6807,0.3995,-1.6273,8
135000,f,78.0,1970-01-01 00:00:00.000002008,62.0,STATE BOARD,B.Tech/B.E.,CSE,90.0,1970-01-01 00:00:00.000002013,490,570,450,0.23780283983757,395,315,1.4208,0.3789,0.9322,-1.3753,0.6721,9
240000,m,77.0,1970-01-01 00:00:00.000002009,76.2,CBSE,B.Tech/B.E.,IT,70.7,1970-01-01 00:00:00.000002013,545,530,605,0.622642915849938,485,407,-0.8772,-0.4536,-0.2974,0.0192,-1.6273,1
120000,f,70.0,1970-01-01 00:00:00.000002009,68.8,CBSE,B.Tech/B.E.,CSE,70.1,1970-01-01 00:00:00.000002013,360,640,560,0.911395278391328,445,500,0.2718,0.0459,0.9322,-0.3612,0.6721,1
300000,m,66.33,1970-01-01 00:00:00.000002008,61.0,STATE BOARD,B.Tech/B.E.,CS,72.0,1970-01-01 00:00:00.000002013,535,510,680,0.486747008438193,435,376,0.2718,0.5454,-1.527,0.2727,0.6721,8
315000,m,86.0,1970-01-01 00:00:00.000002010,79.0,STATE BOARD,B.Tech/B.E.,IT,83.01,1970-01-01 00:00:00.000002014,405,410,690,0.356536487724475,585,346,0.2718,1.5444,0.7785,-0.995,1.6302,7
240000,m,53.4,1970-01-01 00:00:00.000002010,66.0,CBSE,B.Tech/B.E.,IT,60.62,1970-01-01 00:00:00.000002014,300,520,330,0.744758354008939,335,438,-0.3027,0.2124,1.0859,1.1601,-0.4776,0
195000,f,76.16,1970-01-01 00:00:00.000002008,74.0,CBSE,MCA,CA,78.9,1970-01-01 00:00:00.000002013,560,530,235,0.622642915849938,465,407,0.4155,1.2114,0.7785,1.6672,0.2889,9
200000,m,80.0,1970-01-01 00:00:00.000002008,84.0,STATE BOARD,B.Tech/B.E.,ECE,61.0,1970-01-01 00:00:00.000002012,560,460,465,0.622642915849938,395,315,0.5591,1.0449,0.9322,-1.7556,0.4805,8
210000,m,79.5,1970-01-01 00:00:00.000002008,71.08,STATE BOARD,B.Tech/B.E.,CSE,65.68,1970-01-01 00:00:00.000002012,395,535,515,0.356536487724475,535,346,-0.0154,0.5454,0.9322,1.2869,0.2889,1
145000,m,66.4,1970-01-01 00:00:00.000002006,67.75,STATE BOARD,MCA,CA,76.0,1970-01-01 00:00:00.000002013,535,480,260,0.622642915849938,585,407,1.2772,1.3779,0.4711,-1.8824,0.2889,1
500000,m,87.2,1970-01-01 00:00:00.000002010,71.0,STATE BOARD,B.Tech/B.E.,ECE,85.5,1970-01-01 00:00:00.000002014,545,425,500,0.783303536670298,545,284,-0.5899,0.0459,0.1637,0.7798,-0.0943,0
140000,m,78.0,1970-01-01 00:00:00.000002010,87.1,STATE BOARD,B.Tech/B.E.,IT,65.0,1970-01-01 00:00:00.000002014,430,570,615,0.744758354008939,525,438,-1.308,-1.1196,0.4711,0.0192,0.6721,0
155000,m,77.0,1970-01-01 00:00:00.000002009,85.0,STATE BOARD,B.Tech/B.E.,ECE,68.0,1970-01-01 00:00:00.000002013,545,370,415,0.622642915849938,345,223,-0.7335,-0.2871,1.0859,-0.995,1.4386,2
200000,m,75.2,1970-01-01 00:00:00.000002008,75.2,STATE BOARD,B.Tech/B.E.,CS,61.0,1970-01-01 00:00:00.000002014,395,300,310,0.486747008438193,325,376,-0.8772,-1.7856,-0.7585,0.7798,-1.6273,8
700000,m,72.33,1970-01-01 00:00:00.000002009,67.0,STATE BOARD,B.Tech/B.E.,CSE,70.84,1970-01-01 00:00:00.000002013,535,470,620,0.953899775079926,495,530,-0.8772,-1.8855,-0.0319,2.4278,-0.8782,9
220000,m,85.8,1970-01-01 00:00:00.000002010,70.1,CBSE,B.Tech/B.E.,CSE,64.0,1970-01-01 00:00:00.000002014,595,495,440,0.622642915849938,315,407,-0.5899,1.0449,-0.6048,-0.4879,0.0973,8
320000,m,82.0,1970-01-01 00:00:00.000002008,69.4,CBSE,B.Tech/B.E.,CSE,71.8,1970-01-01 00:00:00.000002013,645,595,655,0.953899775079926,635,530,0.1282,0.5454,-1.3733,-1.2486,0.6721,8
340000,f,72.83,1970-01-01 00:00:00.000002009,79.4,STATE BOARD,B.Tech/B.E.,CSE,78.34,1970-01-01 00:00:00.000002014,350,630,760,0.144789889482462,455,284,-0.0154,-0.2871,0.4711,-2.0092,-0.6692,1
275000,f,81.0,1970-01-01 00:00:00.000002009,66.0,CBSE,B.Tech/B.E.,CSE,80.0,1970-01-01 00:00:00.000002013,545,545,595,0.356536487724475,345,346,-0.7335,0.0459,-0.1437,-0.1076,0.4805,8
320000,f,88.33,1970-01-01 00:00:00.000002010,68.0,CBSE,B.Tech/B.E.,IT,78.0,1970-01-01 00:00:00.000002014,580,570,560,0.356536487724475,445,346,1.2772,0.7119,-0.2974,-0.7415,0.4805,1
370000,f,95.2,1970-01-01 00:00:00.000002010,74.8,CBSE,B.Tech/B.E.,IT,76.2,1970-01-01 00:00:00.000002014,640,605,665,0.953899775079926,-1,530,-0.5899,-0.1206,-0.2974,-0.2344,-0.4776,8
100000,m,71.5,1970-01-01 00:00:00.000002009,62.0,STATE BOARD,B.Tech/B.E.,CSE,67.2,1970-01-01 00:00:00.000002014,525,470,585,0.486747008438193,445,376,0.4155,0.2124,-0.4511,-0.6147,0.2889,0
300000,m,88.0,1970-01-01 00:00:00.000002009,87.0,STATE BOARD,B.Tech/B.E.,EEE,79.9,1970-01-01 00:00:00.000002013,510,425,525,0.622642915849938,465,438,0.8463,-0.7866,1.0859,0.1459,-1.0524,0
180000,f,92.0,1970-01-01 00:00:00.000002010,89.0,STATE BOARD,B.Tech/B.E.,IT,83.0,1970-01-01 00:00:00.000002014,500,595,385,0.622642915849938,355,407,1.7081,-0.9531,-1.0659,-0.8682,-0.0943,1
280000,m,68.0,1970-01-01 00:00:00.000002010,59.0,CBSE,MCA,CA,73.0,1970-01-01 00:00:00.000002015,545,530,500,0.0800552813405495,345,253,-3.3188,-1.6191,-3.525,0.2727,-0.4776,0
300000,f,79.5,1970-01-01 00:00:00.000002008,76.0,CBSE,B.Tech/B.E.,CSE,76.0,1970-01-01 00:00:00.000002013,475,570,595,0.356536487724475,505,346,-1.0208,0.5454,0.6248,1.1601,0.4805,1
325000,m,63.0,1970-01-01 00:00:00.000002009,64.0,CBSE,B.Tech/B.E.,CSE,70.9,1970-01-01 00:00:00.000002014,455,475,475,0.842248322257836,635,469,-1.0355,-0.2793,-0.0537,0.5323,0.3049,8
100000,m,73.37,1970-01-01 00:00:00.000002010,61.57,STATE BOARD,B.Tech/B.E.,CSE,76.0,1970-01-01 00:00:00.000002014,545,445,510,0.356536487724475,345,346,0.8463,0.2124,0.01,0.3995,0.2889,8
505000,m,86.0,1970-01-01 00:00:00.000002010,83.8,CBSE,B.Tech/B.E.,IT,77.0,1970-01-01 00:00:00.000002014,555,605,560,0.486747008438193,465,376,0.9737,1.4368,0.5994,-0.2902,0.3444,8
145000,m,78.6,1970-01-01 00:00:00.000002008,64.8,CBSE,B.Tech/B.E.,IT,63.7,1970-01-01 00:00:00.000002014,615,520,535,0.744758354008939,455,438,0.2718,-0.1206,0.4711,-0.2344,-2.0105,8
400000,m,80.0,1970-01-01 00:00:00.000002009,70.0,CBSE,B.Tech/B.E.,IT,65.0,1970-01-01 00:00:00.000002014,440,440,620,0.744758354008939,465,438,-2.0262,-0.9531,0.9322,-0.4879,-0.4776,8
330000,f,76.4,1970-01-01 00:00:00.000002010,81.1,STATE BOARD,B.Tech/B.E.,IT,77.05,1970-01-01 00:00:00.000002014,440,505,380,0.486747008438193,575,376,0.7027,0.5454,-0.9122,-1.6289,-0.4776,8
475000,m,86.88,1970-01-01 00:00:00.000002010,80.83,STATE BOARD,B.Tech/B.E.,CSE,67.6,1970-01-01 00:00:00.000002014,485,375,635,0.356536487724475,445,346,0.99,0.3789,0.01,1.2869,0.4805,1
95000,m,78.8,1970-01-01 00:00:00.000002010,76.5,STATE BOARD,B.Tech/B.E.,EEE,75.9,1970-01-01 00:00:00.000002014,395,425,370,0.423951396376433,-1,346,-0.3027,0.7119,0.01,-0.7415,-1.6273,1
205000,m,74.0,1970-01-01 00:00:00.000002010,69.0,CBSE,B.Tech/B.E.,IT,72.0,1970-01-01 00:00:00.000002014,545,565,415,0.486747008438193,395,376,-0.159,0.3789,0.7785,-1.5021,-0.2859,8
325000,m,92.2,1970-01-01 00:00:00.000002009,75.6,CBSE,B.Tech/B.E.,CSE,81.5,1970-01-01 00:00:00.000002014,685,565,645,0.953899775079926,595,530,1.4208,1.2114,0.3174,-1.5021,0.2889,8
180000,m,84.0,1970-01-01 00:00:00.000002009,87.83,STATE BOARD,B.Tech/B.E.,CSE,81.0,1970-01-01 00:00:00.000002013,405,420,475,0.842248322257836,475,469,-0.8772,-1.1196,1.0859,-0.8682,-0.4776,8
230000,m,81.66,1970-01-01 00:00:00.000002009,58.55,STATE BOARD,B.Tech/B.E.,IT,55.9,1970-01-01 00:00:00.000002013,630,680,560,0.486747008438193,465,376,0.99,0.8784,1.0859,-0.7415,1.0554,1
180000,m,78.6,1970-01-01 00:00:00.000002010,82.6,CBSE,B.Tech/B.E.,ME,70.0,1970-01-01 00:00:00.000002014,590,555,385,0.125690182237981,-1,407,-0.8772,-0.6201,0.3174,-0.2344,1.4386,8
145000,m,82.8,1970-01-01 00:00:00.000002010,69.2,STATE BOARD,B.Tech/B.E.,IT,75.9,1970-01-01 00:00:00.000002014,405,580,605,0.356536487724475,465,346,-0.4463,-0.1206,0.4711,0.2727,-0.2859,1
300000,f,80.0,1970-01-01 00:00:00.000002010,78.0,CBSE,B.Tech/B.E.,CSE,80.35,1970-01-01 00:00:00.000002014,500,505,565,0.622642915849938,495,407,0.1282,0.7119,0.4711,-1.3753,-0.2859,1
